sample,iso,elapsed_s,rss_bytes,peak_rss_bytes,handles,threads,cpu_ms,tcp_total,tcp_established,tcp_listen,tcp_close_wait,tcp_time_wait,tcp_other,leech_completed,leech_failed,churn_runs
62,2026-08-23T04:40:24.619Z,2037,15585280,22466560,206,25,15016,2,1,1,0,0,0,124,0,0
63,2026-08-23T04:40:56.290Z,2068,15781888,22466560,212,27,15266,1,0,1,0,0,0,126,0,0
64,2026-08-23T04:41:28.634Z,2101,15826944,22466560,215,28,15547,2,1,1,0,0,0,128,0,0
65,2026-08-23T04:42:06.819Z,2139,15532032,22466560,209,26,15750,2,1,1,0,0,0,130,0,0
66,2026-08-23T04:42:46.384Z,2179,15650816,22466560,215,28,15984,1,0,1,0,0,0,132,0,0
67,2026-08-23T04:43:31.010Z,2223,15319040,22466560,197,22,16188,2,1,1,0,0,0,134,0,0
68,2026-08-23T04:44:09.287Z,2261,15654912,22466560,206,25,16375,2,1,1,0,0,0,136,0,0
69,2026-08-23T04:44:47.571Z,2300,18022400,22466560,326,65,16656,2,1,1,0,0,0,138,0,0
70,2026-08-23T04:45:17.980Z,2330,15777792,22466560,209,26,16875,1,0,1,0,0,0,140,0,0
71,2026-08-23T04:45:48.483Z,2361,15679488,22466560,206,25,17062,1,0,1,0,0,0,142,0,0
72,2026-08-23T04:46:18.976Z,2391,15593472,22466560,209,26,17266,2,1,1,0,0,0,144,0,0
73,2026-08-23T04:46:49.476Z,2422,15618048,22466560,212,27,17547,2,1,1,0,0,0,146,0,0
74,2026-08-23T04:47:19.971Z,2452,15781888,22466560,212,27,17812,2,1,1,0,0,0,148,0,0
75,2026-08-23T04:47:50.376Z,2483,15646720,22466560,209,26,18141,2,1,1,0,0,0,150,0,0
76,2026-08-23T04:48:20.879Z,2513,15667200,22466560,215,28,18344,2,1,1,0,0,0,152,0,0
77,2026-08-23T04:48:51.449Z,2544,15462400,22466560,206,25,18625,2,1,1,0,0,0,154,0,0
78,2026-08-23T04:49:21.971Z,2574,15732736,22466560,209,26,18812,2,1,1,0,0,0,156,0,0
79,2026-08-23T04:49:52.462Z,2605,15667200,22466560,206,25,19062,1,0,1,0,0,0,158,0,0
80,2026-08-23T04:50:22.944Z,2635,15708160,22466560,206,25,19344,1,0,1,0,0,0,160,0,0
81,2026-08-23T04:50:53.406Z,2666,15556608,22466560,209,26,19609,1,0,1,0,0,0,162,0,0
82,2026-08-23T04:51:23.866Z,2696,15523840,22466560,209,26,19891,2,1,1,0,0,0,164,0,0
83,2026-08-23T04:51:54.292Z,2726,15728640,22466560,218,29,20172,2,1,1,0,0,0,166,0,0
84,2026-08-23T04:52:24.870Z,2757,15790080,22466560,209,26,20453,2,1,1,0,0,0,168,0,0
85,2026-08-23T04:52:55.331Z,2787,15532032,22466560,206,25,20734,2,1,1,0,0,0,170,0,0
86,2026-08-23T04:53:25.858Z,2818,15532032,22466560,209,26,20953,1,0,1,0,0,0,172,0,0
87,2026-08-23T04:53:57.289Z,2849,15904768,22466560,215,28,21188,2,1,1,0,0,0,174,0,0
88,2026-08-23T04:54:35.927Z,2888,15876096,22466560,212,27,21438,1,0,1,0,0,0,176,0,0
89,2026-08-23T04:55:14.218Z,2926,15802368,22466560,209,26,21656,2,1,1,0,0,0,178,0,0
90,2026-08-23T04:55:52.143Z,2964,15507456,22466560,206,25,21922,2,1,1,0,0,0,180,0,0
